;Label;Split;Style;Action;Business Object;Tags
726;check if client happy;[u'check', u'if', u'client', u'happy'];VO;check;if client happy;check<>VOV, if<>VOO, client<>VOO, happy<>VOO, 
1077;check if ctn already barred;[u'check', u'if', u'ctn', u'already', u'barred'];VO;check;if ctn already barred;check<>VOV, if<>VOO, ctn<>VOO, already<>VOO, barred<>VOO, 
1078;check if customer is overdue;[u'check', u'if', u'customer', u'is', u'overdue'];VO;check;if customer is overdue;check<>VOV, if<>VOO, customer<>VOO, is<>VOO, overdue<>VOO, 
1079;check if customer wants new simcard;[u'check', u'if', u'customer', u'wants', u'new', u'simcard'];VO;check;if customer wants new simcard;check<>VOV, if<>VOO, customer<>VOO, wants<>VOO, new<>VOO, simcard<>VOO, 
727;check if demand exists;[u'check', u'if', u'demand', u'exists'];VO;check;if demand exists;check<>VOV, if<>VOO, demand<>VOO, exists<>VOO, 
728;check if extra insurance is necessary;[u'check', u'if', u'extra', u'insurance', u'is', u'necessary'];VO;check;if extra insurance is necessary;check<>VOV, if<>VOO, extra<>VOO, insurance<>VOO, is<>VOO, necessary<>VOO, 
729;check if extrainsurance isnecessary;[u'check', u'if', u'extrainsurance', u'isnecessary'];VO;check;if extrainsurance isnecessary;check<>VOV, if<>VOO, extrainsurance<>VOO, isnecessary<>VOO, 
730;check if information is complete;[u'check', u'if', u'information', u'is', u'complete'];VO;check;if information is complete;check<>VOV, if<>VOO, information<>VOO, is<>VOO, complete<>VOO, 
731;check if invoice delayed;[u'check', u'if', u'invoice', u'delayed'];VO;check;if invoice delayed;check<>VOV, if<>VOO, invoice<>VOO, delayed<>VOO, 
732;check if invoice is urgent;[u'check', u'if', u'invoice', u'is', u'urgent'];VO;check;if invoice is urgent;check<>VOV, if<>VOO, invoice<>VOO, is<>VOO, urgent<>VOO, 
733;check if known (10 min);[u'check', u'if', u'known', u'(10', u'min)'];VO;check;if known (10 min);check<>VOV, if<>VOO, known<>VOO, (10<>VOO, min)<>VOO, 
734;check if list contains user;[u'check', u'if', u'list', u'contains', u'user'];VO;check;if list contains user;check<>VOV, if<>VOO, list<>VOO, contains<>VOO, user<>VOO, 
1080;check if new customer is registered in gemini;[u'check', u'if', u'new', u'customer', u'is', u'registered', u'in', u'gemini'];VO;check;if new customer is registered;check<>VOV, if<>VOO, new<>VOO, customer<>VOO, is<>VOO, registered<>VOO, in<>C-VOS, gemini<>misc-VOS, 
1081;check if original return form is returned;[u'check', u'if', u'original', u'return', u'form', u'is', u'returned'];VO;check;if original return form is returned;check<>VOV, if<>VOO, original<>VOO, return<>VOO, form<>VOO, is<>VOO, returned<>VOO, 
1082;check if pa completed;[u'check', u'if', u'pa', u'completed'];VO;check;if pa completed;check<>VOV, if<>VOO, pa<>VOO, completed<>VOO, 
735;check if pallets have to be stored;[u'check', u'if', u'pallets', u'have', u'to', u'be', u'stored'];VO;check;if pallets have to be stored;check<>VOV, if<>VOO, pallets<>VOO, have<>VOO, to<>VOO, be<>VOO, stored<>VOO, 
736;check if part is available;[u'check', u'if', u'part', u'is', u'available'];VO;check;if part is available;check<>VOV, if<>VOO, part<>VOO, is<>VOO, available<>VOO, 
737;check if payment issue exist;[u'check', u'if', u'payment', u'issue', u'exist'];VO;check;if payment issue exist;check<>VOV, if<>VOO, payment<>VOO, issue<>VOO, exist<>VOO, 
1083;check if returned delivery is complete;[u'check', u'if', u'returned', u'delivery', u'is', u'complete'];VO;check;if returned delivery is complete;check<>VOV, if<>VOO, returned<>VOO, delivery<>VOO, is<>VOO, complete<>VOO, 
1084;check if returned delivery is sealed;[u'check', u'if', u'returned', u'delivery', u'is', u'sealed'];VO;check;if returned delivery is sealed;check<>VOV, if<>VOO, returned<>VOO, delivery<>VOO, is<>VOO, sealed<>VOO, 
1085;check if returned online order had numberporting;[u'check', u'if', u'returned', u'online', u'order', u'had', u'numberporting'];VO;check;if returned online order had numberporting;check<>VOV, if<>VOO, returned<>VOO, online<>VOO, order<>VOO, had<>VOO, numberporting<>VOO, 
1086;check if sim is doa;[u'check', u'if', u'sim', u'is', u'doa'];VO;check;if sim is doa;check<>VOV, if<>VOO, sim<>VOO, is<>VOO, doa<>VOO, 
738;check if sla is known;[u'check', u'if', u'sla', u'is', u'known'];VO;check;if sla is known;check<>VOV, if<>VOO, sla<>VOO, is<>VOO, known<>VOO, 
739;check if sla known by administration officer;[u'check', u'if', u'sla', u'known', u'by', u'administration', u'officer'];VO;check;if sla known by administration officer;check<>VOV, if<>VOO, sla<>VOO, known<>VOO, by<>VOO, administration<>VOO, officer<>VOO, 
1087;check if stock is available;[u'check', u'if', u'stock', u'is', u'available'];VO;check;if stock is available;check<>VOV, if<>VOO, stock<>VOO, is<>VOO, available<>VOO, 
1088;check if stock is available;[u'check', u'if', u'stock', u'is', u'available'];VO;check;if stock is available;check<>VOV, if<>VOO, stock<>VOO, is<>VOO, available<>VOO, 
1089;check if test is needed;[u'check', u'if', u'test', u'is', u'needed'];VO;check;if test is needed;check<>VOV, if<>VOO, test<>VOO, is<>VOO, needed<>VOO, 
740;check if the certificate is the right one;[u'check', u'if', u'the', u'certificate', u'is', u'the', u'right', u'one'];VO;check;if the certificate is the right one;check<>VOV, if<>VOO, the<>VOO, certificate<>VOO, is<>VOO, the<>VOO, right<>VOO, one<>VOO, 
741;check if the customer data is present in the database;[u'check', u'if', u'the', u'customer', u'data', u'is', u'present', u'in', u'the', u'database'];VO;check;if the customer data is present in the database;check<>VOV, if<>VOO, the<>VOO, customer<>VOO, data<>VOO, is<>VOO, present<>VOO, in<>VOO, the<>VOO, database<>VOO, 
742;check if the travel request was filed while the student was in the 3rd year;[u'check', u'if', u'the', u'travel', u'request', u'was', u'filed', u'while', u'the', u'student', u'was', u'in', u'the', u'3rd', u'year'];VO;check;if the travel request was filed while the student was in the 3rd year;check<>VOV, if<>VOO, the<>VOO, travel<>VOO, request<>VOO, was<>VOO, filed<>VOO, while<>VOO, the<>VOO, student<>VOO, was<>VOO, in<>VOO, the<>VOO, 3rd<>ORDINALVOS, year<>VOO, 
743;check if there enough money;[u'check', u'if', u'there', u'enough', u'money'];VO;check;if there enough money;check<>VOV, if<>VOO, there<>VOO, enough<>VOO, money<>VOO, 
744;check if ticket is already booked;[u'check', u'if', u'ticket', u'is', u'already', u'booked'];VO;check;if ticket is already booked;check<>VOV, if<>VOO, ticket<>VOO, is<>VOO, already<>VOO, booked<>VOO, 
1090;check if time out may be removed;[u'check', u'if', u'time', u'out', u'may', u'be', u'removed'];VO;check;if time out may be removed;check<>VOV, if<>VOO, time<>VOO, out<>VOO, may<>VOO, be<>VOO, removed<>VOO, 
1091;check if time out may be removed;[u'check', u'if', u'time', u'out', u'may', u'be', u'removed'];VO;check;if time out may be removed;check<>VOV, if<>VOO, time<>VOO, out<>VOO, may<>VOO, be<>VOO, removed<>VOO, 
745;check if urgent;[u'check', u'if', u'urgent'];VO;check;if urgent;check<>VOV, if<>VOO, urgent<>VOO, 
746;check if urgent processing required;[u'check', u'if', u'urgent', u'processing', u'required'];VO;check;if urgent processing required;check<>VOV, if<>VOO, urgent<>VOO, processing<>VOO, required<>VOO, 
747;check if user is active;[u'check', u'if', u'user', u'is', u'active'];VO;check;if user is active;check<>VOV, if<>VOO, user<>VOO, is<>VOO, active<>VOO, 
748;check if user is in inactive;[u'check', u'if', u'user', u'is', u'in', u'inactive'];VO;check;if user is in inactive;check<>VOV, if<>VOO, user<>VOO, is<>VOO, in<>VOO, inactive<>VOO, 
1092;check if vodafiber is green;[u'check', u'if', u'vodafiber', u'is', u'green'];VO;check;if vodafiber is green;check<>VOV, if<>VOO, vodafiber<>VOO, is<>VOO, green<>VOO, 
1093;check imei;[u'check', u'imei'];VO;check;imei;check<>VOV, imei<>VOO, 
1094;check impact on delivery site connectivity;[u'check', u'impact', u'on', u'delivery', u'site', u'connectivity'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, delivery<>misc-VOS, site<>misc-VOS, connectivity<>misc-VOS, 
1095;check impact on detailed implementation planning;[u'check', u'impact', u'on', u'detailed', u'implementation', u'planning'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, detailed<>misc-VOS, implementation<>misc-VOS, planning<>misc-VOS, 
1096;check impact on device delivery;[u'check', u'impact', u'on', u'device', u'delivery'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, device<>misc-VOS, delivery<>misc-VOS, 
1097;check impact on device delivery;[u'check', u'impact', u'on', u'device', u'delivery'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, device<>misc-VOS, delivery<>misc-VOS, 
1098;check impact on np process;[u'check', u'impact', u'on', u'np', u'process'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, np<>misc-VOS, process<>misc-VOS, 
1099;check impact on porting process;[u'check', u'impact', u'on', u'porting', u'process'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, porting<>misc-VOS, process<>misc-VOS, 
1100;check impact on release planning;[u'check', u'impact', u'on', u'release', u'planning'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, release<>misc-VOS, planning<>misc-VOS, 
1101;check impact on site connectivity;[u'check', u'impact', u'on', u'site', u'connectivity'];VO;check;impact;check<>VOV, impact<>VOO, on<>C-VOS, site<>misc-VOS, connectivity<>misc-VOS, 
1102;check implemented data;[u'check', u'implemented', u'data'];VO;check;implemented data;check<>VOV, implemented<>VOO, data<>VOO, 
749;check in;[u'check', u'in'];VO;check in;;check<>VOV, in<>VOV-E, 
1103;check in production environment;[u'check', u'in', u'production', u'environment'];VO;check in;production environment;check<>VOV, in<>VOV-E, production<>VOO, environment<>VOO, 
750;check inbox for completed cr;[u'check', u'inbox', u'for', u'completed', u'cr'];VO;check;inbox;check<>VOV, inbox<>VOO, for<>C-VOS, completed<>misc-VOS, cr<>misc-VOS, 
1104;check incident status;[u'check', u'incident', u'status'];VO;check;incident status;check<>VOV, incident<>VOO, status<>VOO, 
1105;check initiator;[u'check', u'initiator'];VO;check;initiator;check<>VOV, initiator<>VOO, 
1106;check input received stakeholder;[u'check', u'input', u'received', u'stakeholder'];VO;check;input received stakeholder;check<>VOV, input<>VOO, received<>VOO, stakeholder<>VOO, 
751;check insurance;[u'check', u'insurance'];VO;check;insurance;check<>VOV, insurance<>VOO, 
752;check insurance offer;[u'check', u'insurance', u'offer'];VO;check;insurance offer;check<>VOV, insurance<>VOO, offer<>VOO, 
753;check insurance organization;[u'check', u'insurance', u'organization'];VO;check;insurance organization;check<>VOV, insurance<>VOO, organization<>VOO, 
754;check insurance policy;[u'check', u'insurance', u'policy'];VO;check;insurance policy;check<>VOV, insurance<>VOO, policy<>VOO, 
755;check inventory;[u'check', u'inventory'];VO;check;inventory;check<>VOV, inventory<>VOO, 
756;check inventory for finished goods;[u'check', u'inventory', u'for', u'finished', u'goods'];VO;check;inventory for finished goods;check<>VOV, inventory<>VOO, for<>VOO, finished<>VOO, goods<>VOO, 
600;check 'invoice entered correctly' on invoice entry form;"[u'check', u""'invoice"", u'entered', u""correctly'"", u'on', u'invoice', u'entry', u'form']";VO;check;invoice entered correctly';check<>VOV, 'invoice<>ADVOS, entered<>VOO, correctly'<>VOO, on<>C-VOS, invoice<>VOO, entry<>misc-VOS, form<>misc-VOS, 
761;check invoice entry form completenesss;[u'check', u'invoice', u'entry', u'form', u'completenesss'];VO;check;;check<>VOV, invoice<>misc-VOS, entry<>misc-VOS, form<>misc-VOS, completenesss<>misc-VOS, 
1107;check invoice;[u'check', u'invoice'];VO;check;invoice;check<>VOV, invoice<>VOO, 
757;check invoice completeness;[u'check', u'invoice', u'completeness'];VO;check;invoice completeness;check<>VOV, invoice<>VOO, completeness<>VOO, 
758;check invoice completeness;[u'check', u'invoice', u'completeness'];VO;check;invoice completeness;check<>VOV, invoice<>VOO, completeness<>VOO, 
759;check invoice complience;[u'check', u'invoice', u'complience'];VO;check;invoice complience;check<>VOV, invoice<>VOO, complience<>VOO, 
1108;check invoice details;[u'check', u'invoice', u'details'];VO;check;invoice details;check<>VOV, invoice<>VOO, details<>VOO, 
760;check invoice entered on invoice entry form;[u'check', u'invoice', u'entered', u'on', u'invoice', u'entry', u'form'];VO;check;invoice entered;check<>VOV, invoice<>VOO, entered<>VOO, on<>C-VOS, invoice<>VOO, entry<>misc-VOS, form<>misc-VOS, 
762;check invoice urgency;[u'check', u'invoice', u'urgency'];VO;check;invoice urgency;check<>VOV, invoice<>VOO, urgency<>VOO, 
1109;check issued list;[u'check', u'issued', u'list'];VO;check;issued list;check<>VOV, issued<>VOO, list<>VOO, 
763;check item seasonality;[u'check', u'item', u'seasonality'];VO;check;item seasonality;check<>VOV, item<>VOO, seasonality<>VOO, 
764;check items;[u'check', u'items'];VO;check;items;check<>VOV, items<>VOO, 
1110;check kvk;[u'check', u'kvk'];VO;check;kvk;check<>VOV, kvk<>VOO, 
765;check leak tightness;[u'check', u'leak', u'tightness'];VO;check;leak tightness;check<>VOV, leak<>VOO, tightness<>VOO, 
766;check loan amount;[u'check', u'loan', u'amount'];VO;check;loan amount;check<>VOV, loan<>VOO, amount<>VOO, 
767;check loan application;[u'check', u'loan', u'application'];VO;check;loan application;check<>VOV, loan<>VOO, application<>VOO, 
768;check loan request;[u'check', u'loan', u'request'];VO;check;loan request;check<>VOV, loan<>VOO, request<>VOO, 
769;check lodgment acceptability;[u'check', u'lodgment', u'acceptability'];VO;check;lodgment acceptability;check<>VOV, lodgment<>VOO, acceptability<>VOO, 
770;check loop timer;[u'check', u'loop', u'timer'];VO;check;loop timer;check<>VOV, loop<>VOO, timer<>VOO, 
771;check medicine usage;[u'check', u'medicine', u'usage'];VO;check;medicine usage;check<>VOV, medicine<>VOO, usage<>VOO, 
772;check menu for dessert;[u'check', u'menu', u'for', u'dessert'];VO;check;menu for dessert;check<>VOV, menu<>VOO, for<>VOO, dessert<>VOO, 
773;check message data integrity;[u'check', u'message', u'data', u'integrity'];VO;check;message data integrity;check<>VOV, message<>VOO, data<>VOO, integrity<>VOO, 
774;check message integrity;[u'check', u'message', u'integrity'];VO;check;message integrity;check<>VOV, message<>VOO, integrity<>VOO, 
1111;check met dekkingstool / webgis / touchpoint;[u'check', u'met', u'dekkingstool', u'/', u'webgis', u'/', u'touchpoint'];VO;check;met dekkingstool / webgis / touchpoint;check<>VOV, met<>VOO, dekkingstool<>VOO, /<>VOO, webgis<>VOO, /<>VOO, touchpoint<>VOO, 
775;check model process;[u'check', u'model', u'process'];VO;check;model process;check<>VOV, model<>VOO, process<>VOO, 
776;check native title;[u'check', u'native', u'title'];VO;check;native title;check<>VOV, native<>VOO, title<>VOO, 
777;check nausea and vomiting;[u'check', u'nausea', u'and', u'vomiting'];VO;check;nausea and vomiting;check<>VOV, nausea<>VOO, and<>VOO, vomiting<>VOO, 
778;check need for sc medication;[u'check', u'need', u'for', u'sc', u'medication'];VO;check;need;check<>VOV, need<>VOO, for<>C-VOS, sc<>misc-VOS, medication<>misc-VOS, 
779;check needs;[u'check', u'needs'];VO;check;needs;check<>VOV, needs<>VOO, 
780;check net bank;[u'check', u'net', u'bank'];VO;check;net bank;check<>VOV, net<>VOO, bank<>VOO, 
1112;check network status;[u'check', u'network', u'status'];VO;check;network status;check<>VOV, network<>VOO, status<>VOO, 
1113;check network status;[u'check', u'network', u'status'];VO;check;network status;check<>VOV, network<>VOO, status<>VOO, 
1114;check new content;[u'check', u'new', u'content'];VO;check;new content;check<>VOV, new<>VOO, content<>VOO, 
1115;check no fault;[u'check', u'no', u'fault'];VO;check;no fault;check<>VOV, no<>VOO, fault<>VOO, 
1116;check no fault;[u'check', u'no', u'fault'];VO;check;no fault;check<>VOV, no<>VOO, fault<>VOO, 
781;check normal renal and liver function;[u'check', u'normal', u'renal', u'and', u'liver', u'function'];VO;check;normal renal and liver function;check<>VOV, normal<>VOO, renal<>VOO, and<>VOO, liver<>VOO, function<>VOO, 
782;check number of reminders sent;[u'check', u'number', u'of', u'reminders', u'sent'];VO;check;number of reminders sent;check<>VOV, number<>VOO, of<>VOO, reminders<>VOO, sent<>VOO, 
1117;check oem imei list;[u'check', u'oem', u'imei', u'list'];VO;check;oem imei list;check<>VOV, oem<>VOO, imei<>VOO, list<>VOO, 
1118;check offer;[u'check', u'offer'];VO;check;offer;check<>VOV, offer<>VOO, 
1119;check offer;[u'check', u'offer'];VO;check;offer;check<>VOV, offer<>VOO, 
783;check open orders;[u'check', u'open', u'orders'];VO;check;open orders;check<>VOV, open<>VOO, orders<>VOO, 
784;check oral opioid taking;[u'check', u'oral', u'opioid', u'taking'];VO;check;oral opioid taking;check<>VOV, oral<>VOO, opioid<>VOO, taking<>VOO, 
785;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1120;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1121;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1122;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1123;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1124;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1125;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1126;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1127;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1128;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1129;check order;[u'check', u'order'];VO;check;order;check<>VOV, order<>VOO, 
1130;check order amount and stock level via excel sheet;[u'check', u'order', u'amount', u'and', u'stock', u'level', u'via', u'excel', u'sheet'];VO;check;order amount and stock level;check<>VOV, order<>VOO, amount<>VOO, and<>VOO, stock<>VOO, level<>VOO, via<>misc-VOS, excel<>misc-VOS, sheet<>misc-VOS, 
1131;check order design request by pme;[u'check', u'order', u'design', u'request', u'by', u'pme'];VO;check;order design request;check<>VOV, order<>VOO, design<>VOO, request<>VOO, by<>C-VOS, pme<>misc-VOS, 
1132;check order design request by radioacces;[u'check', u'order', u'design', u'request', u'by', u'radioacces'];VO;check;order design request;check<>VOV, order<>VOO, design<>VOO, request<>VOO, by<>C-VOS, radioacces<>misc-VOS, 
1133;check order stage;[u'check', u'order', u'stage'];VO;check;order stage;check<>VOV, order<>VOO, stage<>VOO, 
786;check orders;[u'check', u'orders'];VO;check;orders;check<>VOV, orders<>VOO, 
1134;check orders;[u'check', u'orders'];VO;check;orders;check<>VOV, orders<>VOO, 
1135;check orderstatus;[u'check', u'orderstatus'];VO;check;orderstatus;check<>VOV, orderstatus<>VOO, 
1136;check other means of proof;[u'check', u'other', u'means', u'of', u'proof'];VO;check;other means;check<>VOV, other<>VOO, means<>VOO, of<>OF-VOS, proof<>misc-VOS, 
787;check out age calendar for listed release date;[u'check', u'out', u'age', u'calendar', u'for', u'listed', u'release', u'date'];VO;check out;age calendar;check<>VOV, out<>VOV-E, age<>VOO, calendar<>VOO, for<>C-VOS, listed<>misc-VOS, release<>misc-VOS, date<>misc-VOS, 
788;check out all received documents;[u'check', u'out', u'all', u'received', u'documents'];VO;check out;all received documents;check<>VOV, out<>VOV-E, all<>VOO, received<>VOO, documents<>VOO, 
789;check out detailed information;[u'check', u'out', u'detailed', u'information'];VO;check out;detailed information;check<>VOV, out<>VOV-E, detailed<>VOO, information<>VOO, 
790;check out received invoice;[u'check', u'out', u'received', u'invoice'];VO;check out;received invoice;check<>VOV, out<>VOV-E, received<>VOO, invoice<>VOO, 
791;check p&e judge availability;[u'check', u'p&e', u'judge', u'availability'];VO;check;p&e judge availability;check<>VOV, p&e<>VOO, judge<>VOO, availability<>VOO, 
1137;check pa status;[u'check', u'pa', u'status'];VO;check;pa status;check<>VOV, pa<>VOO, status<>VOO, 
1138;check package;[u'check', u'package'];VO;check;package;check<>VOV, package<>VOO, 
1139;check package;[u'check', u'package'];VO;check;package;check<>VOV, package<>VOO, 
1140;check package;[u'check', u'package'];VO;check;package;check<>VOV, package<>VOO, 
792;check pain persistence;[u'check', u'pain', u'persistence'];VO;check;pain persistence;check<>VOV, pain<>VOO, persistence<>VOO, 
793;check paper invoices against payment report;[u'check', u'paper', u'invoices', u'against', u'payment', u'report'];VO;check;paper invoices;check<>VOV, paper<>VOO, invoices<>VOO, against<>C-VOS, payment<>misc-VOS, report<>misc-VOS, 
794;check parcel;[u'check', u'parcel'];VO;check;parcel;check<>VOV, parcel<>VOO, 
795;check part;[u'check', u'part'];VO;check;part;check<>VOV, part<>VOO, 
796;check part availibility;[u'check', u'part', u'availibility'];VO;check;part availibility;check<>VOV, part<>VOO, availibility<>VOO, 
797;check part by disuki;[u'check', u'part', u'by', u'disuki'];VO;check;part by disuki;check<>VOV, part<>VOO, by<>VOO, disuki<>VOO, 
798;check parts availability;[u'check', u'parts', u'availability'];VO;check;parts availability;check<>VOV, parts<>VOO, availability<>VOO, 
1141;check password;[u'check', u'password'];VO;check;password;check<>VOV, password<>VOO, 
799;check patient;[u'check', u'patient'];VO;check;patient;check<>VOV, patient<>VOO, 
800;check payment;[u'check', u'payment'];VO;check;payment;check<>VOV, payment<>VOO, 
1142;check payment;[u'check', u'payment'];VO;check;payment;check<>VOV, payment<>VOO, 
801;check payment illegability;[u'check', u'payment', u'illegability'];VO;check;payment illegability;check<>VOV, payment<>VOO, illegability<>VOO, 
802;check payment illegibility;[u'check', u'payment', u'illegibility'];VO;check;payment illegibility;check<>VOV, payment<>VOO, illegibility<>VOO, 
803;check payment illegibiltiy;[u'check', u'payment', u'illegibiltiy'];VO;check;payment illegibiltiy;check<>VOV, payment<>VOO, illegibiltiy<>VOO, 
804;check persistence;[u'check', u'persistence'];VO;check;persistence;check<>VOV, persistence<>VOO, 
805;check pin;[u'check', u'pin'];VO;check;pin;check<>VOV, pin<>VOO, 
806;check policy;[u'check', u'policy'];VO;check;policy;check<>VOV, policy<>VOO, 
1143;check porting viability;[u'check', u'porting', u'viability'];VO;check;porting viability;check<>VOV, porting<>VOO, viability<>VOO, 
1144;check possible mitigation;[u'check', u'possible', u'mitigation'];VO;check;possible mitigation;check<>VOV, possible<>VOO, mitigation<>VOO, 
1145;check postalcode on certified line;[u'check', u'postalcode', u'on', u'certified', u'line'];VO;check;postalcode;check<>VOV, postalcode<>VOO, on<>C-VOS, certified<>misc-VOS, line<>misc-VOS, 
1146;check postalcode on dsl availability;[u'check', u'postalcode', u'on', u'dsl', u'availability'];VO;check;postalcode;check<>VOV, postalcode<>VOO, on<>C-VOS, dsl<>misc-VOS, availability<>misc-VOS, 
1147;check postalcode on dsl availability;[u'check', u'postalcode', u'on', u'dsl', u'availability'];VO;check;postalcode;check<>VOV, postalcode<>VOO, on<>C-VOS, dsl<>misc-VOS, availability<>misc-VOS, 
1148;check prefix;[u'check', u'prefix'];VO;check;prefix;check<>VOV, prefix<>VOO, 
1149;check prefix;[u'check', u'prefix'];VO;check;prefix;check<>VOV, prefix<>VOO, 
1150;check prefix;[u'check', u'prefix'];VO;check;prefix;check<>VOV, prefix<>VOO, 
1151;check prefix;[u'check', u'prefix'];VO;check;prefix;check<>VOV, prefix<>VOO, 
1152;check prefix;[u'check', u'prefix'];VO;check;prefix;check<>VOV, prefix<>VOO, 
1153;check prefix;[u'check', u'prefix'];VO;check;prefix;check<>VOV, prefix<>VOO, 
807;check premium;[u'check', u'premium'];VO;check;premium;check<>VOV, premium<>VOO, 
1154;check prepaid or postpaid simcard;[u'check', u'prepaid', u'or', u'postpaid', u'simcard'];VO;check;prepaid or postpaid simcard;check<>VOV, prepaid<>VOO, or<>VOO, postpaid<>VOO, simcard<>VOO, 
808;check previous loans;[u'check', u'previous', u'loans'];VO;check;previous loans;check<>VOV, previous<>VOO, loans<>VOO, 
809;check private customer items;[u'check', u'private', u'customer', u'items'];VO;check;private customer items;check<>VOV, private<>VOO, customer<>VOO, items<>VOO, 
810;check process;[u'check', u'process'];VO;check;process;check<>VOV, process<>VOO, 
811;check process asign points;[u'check', u'process', u'asign', u'points'];VO;check;process asign points;check<>VOV, process<>VOO, asign<>VOO, points<>VOO, 
812;check process assign points;[u'check', u'process', u'assign', u'points'];VO;check;process assign points;check<>VOV, process<>VOO, assign<>VOO, points<>VOO, 
813;check process assign points;[u'check', u'process', u'assign', u'points'];VO;check assign;process / points;check<>VOV, process<>VOO, assign<>VOV, points<>VOO, 
814;check process model;[u'check', u'process', u'model'];VO;check;process model;check<>VOV, process<>VOO, model<>VOO, 
815;check product;[u'check', u'product'];VO;check;product;check<>VOV, product<>VOO, 
816;check product (quality inspector);[u'check', u'product', u'(quality', u'inspector)'];VO;check;product (quality inspector);check<>VOV, product<>VOO, (quality<>VOO, inspector)<>VOO, 
1155;check product compatibility;[u'check', u'product', u'compatibility'];VO;check;product compatibility;check<>VOV, product<>VOO, compatibility<>VOO, 
1156;check product type;[u'check', u'product', u'type'];VO;check;product type;check<>VOV, product<>VOO, type<>VOO, 
817;check products on store;[u'check', u'products', u'on', u'store'];VO;check;products;check<>VOV, products<>VOO, on<>C-VOS, store<>misc-VOS, 
818;check purchase requisition;[u'check', u'purchase', u'requisition'];VO;check;purchase requisition;check<>VOV, purchase<>VOO, requisition<>VOO, 
819;check purchase requisition;[u'check', u'purchase', u'requisition'];VO;check;purchase requisition;check<>VOV, purchase<>VOO, requisition<>VOO, 
820;check quality;[u'check', u'quality'];VO;check;quality;check<>VOV, quality<>VOO, 
821;check quantity and quality;[u'check', u'quantity', u'and', u'quality'];VO;check;quantity and quality;check<>VOV, quantity<>VOO, and<>VOO, quality<>VOO, 
1157;check quantity does not exceed licenses;[u'check', u'quantity', u'does', u'not', u'exceed', u'licenses'];VO;check;quantity does not exceed licenses;check<>VOV, quantity<>VOO, does<>VOO, not<>VOO, exceed<>VOO, licenses<>VOO, 
1158;check quantity does not exceed licenses;[u'check', u'quantity', u'does', u'not', u'exceed', u'licenses'];VO;check;quantity does not exceed licenses;check<>VOV, quantity<>VOO, does<>VOO, not<>VOO, exceed<>VOO, licenses<>VOO, 
822;check quantity of part;[u'check', u'quantity', u'of', u'part'];VO;check;quantity;check<>VOV, quantity<>VOO, of<>OF-VOS, part<>misc-VOS, 
823;check quantity of parts;[u'check', u'quantity', u'of', u'parts'];VO;check;quantity;check<>VOV, quantity<>VOO, of<>OF-VOS, parts<>misc-VOS, 
824;check question with the ordering department;[u'check', u'question', u'with', u'the', u'ordering', u'department'];VO;check;question;check<>VOV, question<>VOO, with<>C-VOS, the<>C-VOS, ordering<>misc-VOS, department<>misc-VOS, 
1159;check questionnaire;[u'check', u'questionnaire'];VO;check;questionnaire;check<>VOV, questionnaire<>VOO, 
825;check radio permit;[u'check', u'radio', u'permit'];VO;check;radio permit;check<>VOV, radio<>VOO, permit<>VOO, 
826;check raw material;[u'check', u'raw', u'material'];VO;check;raw material;check<>VOV, raw<>VOO, material<>VOO, 
827;check raw materials needed (procurement officer);[u'check', u'raw', u'materials', u'needed', u'(procurement', u'officer)'];VO;check;raw materials needed (procurement officer);check<>VOV, raw<>VOO, materials<>VOO, needed<>VOO, (procurement<>VOO, officer)<>VOO, 
828;check reachebility of destination & maximum transfer limit;[u'check', u'reachebility', u'of', u'destination', u'&', u'maximum', u'transfer', u'limit'];VO;check;reachebility;check<>VOV, reachebility<>VOO, of<>OF-VOS, destination<>misc-VOS, &<>misc-VOS, maximum<>misc-VOS, transfer<>misc-VOS, limit<>misc-VOS, 
1160;check receipt router;[u'check', u'receipt', u'router'];VO;check;receipt router;check<>VOV, receipt<>VOO, router<>VOO, 
829;check receipts;[u'check', u'receipts'];VO;check;receipts;check<>VOV, receipts<>VOO, 
1161;check received docs;[u'check', u'received', u'docs'];VO;check;received docs;check<>VOV, received<>VOO, docs<>VOO, 
