Label;Split;Style;Action;Business Object;Addition;Tags
check type of patient;;VO;check;type;of patient;
check up of payments or availability of guarantees regarding customs duties;;VO;check up;of payments or availability;of guarantees regarding customs duties;
check urgency;;VO;check;urgency;;
check urgent invoice;;VO;check;urgent invoice;;
check validity of the card;;VO;check;validity;of the card;
check vendor exist;;VO;check;vendor exist;;
check vendor exists;;VO;check;vendor exists;;
check wait time;;VO;check;wait time;;
check whether any future major land action planned;;VO;check;whether any future major land action planned;;
check whether passenger has checked in;;VO;check;whether passenger has checked in;;
check whether the lecturer is eu or he is not;;VO;check;whether the lecturer is eu or he is not;;
check: 1) the grades2) the professor contract;;VO;check;the grades and the professor contract;;
checking booking request;;AN;checking;booking request;;
checking documents;;AN;checking;documents;;
checking of customs declaration and supp. docs;;AN;checking;of customs declaration and supp. docs;;
checking of customs desclation and supp. docs;;AN;checking;of customs desclation and supp. docs;;
checking payment method;;AN;checking;payment method;;
checking the details for invoices;;AN;checking;the details for invoices;;
checks entrance test and exceptions;;DES / EVENT;checks;entrance test and exceptions;;
checks income;;DES / EVENT;checks;income;;
checks letter;;DES / EVENT;checks;letter;;
checks process model;;DES / EVENT;checks;process model;;
cheese;;NA;;cheese;;
chicken;;NA;;chicken;;
children discounts;;NA;discounts;children;;
choose / remove goods;;VO;choose remove;goods;;
choose / remove goods from shopping cart;;VO;choose remove;goods;from shopping cart;
choose 2 best proposals;;VO;choose;2 best proposals;;
choose a health issue;;VO;choose;a health issue;;
choose a payment option;;VO;choose;a payment option;;
choose a product category;;VO;choose;a product category;;
choose a related username;;VO;choose;a related username;;
choose billing address;;VO;choose;billing address;;
choose book;;VO;choose;book;;
choose card screen;;VO;choose;card screen;;
choose credit cardnr;;VO;choose;credit cardnr;;
choose current account;;VO;choose;current account;;
choose customer profile;;VO;choose;customer profile;;
choose delivery time;;VO;choose;delivery time;;
choose departing flight;;VO;choose;departing flight;;
choose destination;;VO;choose;destination;;
choose flight;;VO;choose;flight;;
choose good;;VO;choose;good;;
choose great music in the jukebox;;VO;choose;great music;in the jukebox;
choose logistical option;;VO;choose;logistical option;;
choose method to handle non-compliant invoice;;VO;choose;method;to handle non-compliant invoice;
choose monster to activate;;VO;choose;monster;to activate;
choose one of promoted possitions;;VO;choose;one;of promoted possitions;
choose payment method;;VO;choose;payment method;;
choose payment method option;;VO;choose;payment method option;;
choose possition;;VO;choose;possition;;
choose profile;;VO;choose;profile;;
choose return flight;;VO;choose;return flight;;
choose savings account;;VO;choose;savings account;;
choose seat;;VO;choose;seat;;
choose square to attack (must be in line of sight);;VO;choose;square;to attack (must be in line of sight);
choose the course;;VO;choose;the course;;
choose time deposits;;VO;choose;time deposits;;
choose with credit;;VO;choose;with credit;;
choose without credit;;VO;choose;without credit;;
choosing vender;;AN;choosing;vender;;
circulate the cr to cab;;VO;circulate;the cr;to cab;
circulate the cr to management;;VO;circulate;the cr;to management;
circulate to management;;VO;circulate;;to management;
citizen needs assistance;;DES / EVENT;needs;citizen;;
claim accepted;;DES / EVENT;accepted;claim;;
claim denied;;DES / EVENT;denied;claim;;
clarify with experienced staff member;;VO;clarify;;with experienced staff member;
classify claim;;VO;classify;claim;;
cleaning equipment;;AN;cleaning;equipment;;
clear vendor line items;;VO;clear;vendor line items;;
"click ""book online""";;VO;click;"""book online""";;
"click ""buy album""";;VO;click;"""buy album""";;
"click ""confirm""";;VO;click;"""confirm""";;
"click ""continue""";;VO;click;"""continue""";;
"click on ""video call"" button";;VO;click;"on ""video call"" button";;
click on event icon;;VO;click;on event icon;;
clicked continue;;DES / EVENT;clicked;continue;;
clicked create account;;DES / EVENT;clicked;create account;;
clicked on add to cart for the second book on the list;;DES / EVENT;clicked;add to cart;;
clicked on add your card;;DES / EVENT;clicked;add your card;;
clicked on proceed to checkout button;;DES / EVENT;clicked;proceed to checkout;;
clicked on sign in using our secure server;;DES / EVENT;clicked;sign in using our secture server;;
clicked on the link for used books 22 used;;DES / EVENT;clicked;;;
clicked place your order in aud;;DES / EVENT;clicked;place your order in aud;;
client authentication;;AN;authentication;client;;
client calls or sends an email to make a request;;DES / EVENT;calls, sends;email, request;;
client invoices;;DES / EVENT;invoices;client;;
client name entered;;DES / EVENT;entered;client name;;
client request enters dmz;;DES / EVENT;enters;client request;;
client sends a content request;;DES / EVENT;sends;a content request;;
close;;VO;close;;;
close account;;VO;close;account;;
close advertisement;;VO;close;advertisement;;
close claim;;VO;close;claim;;
close contract (order);;VO;close;contract (order);;
close customer po;;VO;close;customer po;;
close off the recruitment and selection process;;VO;close off;the recruitment and selection process;;
close order;;VO;close;order;;
close record;;VO;close;record;;
close request;;VO;close;request;;
close the gate;;VO;close;the gate;;
close the mission;;VO;close;the mission;;
close the order;;VO;close;the order;;
close the ticket;;VO;close;the ticket;;
close vacancy or offered to next candidate or readvertised;;VO;close;vacancy or offered;to next candidate or readvertised;
club uniform;;NA;uniform;club;;
coaching;;AN;coaching;;;
coaching session;;NA;session;coaching;;
cold goods directly taken from store;;DES / EVENT;taken;cold goods;;
collate invoices;;VO;collate;invoices;;
collate invoices from previous days;;VO;collate;invoices;from previous days;
collate invoices remaining from previous days;;VO;collate;invoices remaining;from previous days;
collect all feedback;;VO;collect;all feedback;;
collect all professor information and prepare the contract;;VO;collect prepare;all professor information / the contract;;
collect all the recives from the trip;;VO;collect;all the recives;from the trip;
collect allocated invoices;;VO;collect;allocated invoices;;
collect allocated invoices from admin department;;VO;collect;allocated invoices;from admin department;
collect allocated invoices from admin officers;;VO;collect;allocated invoices;from admin officers;
collect allthe receipts;;VO;collect;allthe receipts;;
collect and check all the documentation;;VO;collect check;all the documentation;;
collect cold goods;;VO;collect;cold goods;;
collect courses professors personal info;;VO;collect;courses professors personal info;;
collect credit details;;VO;collect;credit details;;
collect credit info;;VO;collect;credit info;;
collect daily directinvoices;;VO;collect;daily directinvoices;;
collect data;;VO;collect;data;;
collect feedback & modify models;;VO;collect modify;feedback / models;;
collect food items for menu;;VO;collect;food items;for menu;
collect forms;;VO;collect;forms;;
collect goods;;VO;collect;goods;;
collect incoming mail;;VO;collect;incoming mail;;
collect invoice from outbox;;VO;collect;invoice;from outbox;
collect invoices;;VO;collect;invoices;;
collect invoices from admin officer;;VO;collect;invoices;from admin officer;
collect invoices from admistration officer;;VO;collect;invoices;from admistration officer;
collect invoices from data entry outbox;;VO;collect;invoices;from data entry outbox;
collect number of attendants;;VO;collect;number;of attendants;
collect offer;;VO;collect;offer;;
collect part;;VO;collect;part;;
collect payment;;VO;collect;payment;;
collect payment upon supply of part to customer;;VO;collect;payment;upon supply of part to customer;
collect payments;;VO;collect;payments;;
collect print and send receipts to the secretary;;VO;collect print send;receipts;to the secretary;
collect process list and scope;;VO;collect;process list and scope;;
collect receipts for repayment;;VO;collect;receipts;for repayment;
collect required signatures for payment;;VO;collect;required signatures;for payment;
collect sample for lab or field analysis;;VO;collect;sample;for lab or field analysis;
collect the invoices;;VO;collect;the invoices;;
collect the neered signature;;VO;collect;the neered signature;;
collect vendor master request form from dedicated outbox;;VO;collect;vendor master request form;from dedicated outbox;
collects statements of financial value;;DES / EVENT;collects;statements of financial value;;
comment on a pals photo or status update;;VO;comment;on a pals photo or status update;;
commit to svn;;VO;commit;;to svn;
committee;;NA;;;;
communicate;;VO;communicate;;;
communicate result;;VO;communicate;result;;
communicate results with bvis;;VO;communicate;results;with bvis;
communicate the resolution to client (5 min);;VO;communicate;the resolution;to client (5 min);
communicate with customer;;VO;communicate;with customer;;
communicate with customer;;VO;communicate;with customer;;
communicate with the customer;;VO;communicate;with the customer;;
communicate with the customer;;VO;communicate;with the customer;;
communicate with the customer;;VO;communicate;with the customer;;
communicate with the vendor;;VO;communicate;with the vendor;;
communicate with the vendor;;VO;communicate;with the vendor;;
communicate with the vendor;;VO;communicate;with the vendor;;
communicate with vendor;;VO;communicate;with vendor;;
communicate with vendor;;VO;communicate;with vendor;;
communicate with vendor;;VO;communicate;with vendor;;
communication and consultation;;AN;communication consultation;;;
communications deployment;;AN;deployment;communications;;
communications design;;AN;design;communications;;
compare customer data with internal customer database;;VO;compare;customer data;with internal customer database;
compare details;;VO;compare;details;;
compare if the customer data is the same as existing data;;VO;compare;if the customer data is the same as existing data;;
compare invoice against invoice history report;;VO;compare;invoice;against invoice history report;
compare report with paper invoice;;VO;compare;report;with paper invoice;
compare scanned invoice with summary report;;VO;compare;scanned invoice;with summary report;
compare the assigned budget to the planned budget;;VO;compare;the assigned budget;to the planned budget;
compare the detail of report with actual paper invoices;;VO;compare;the detail of report;with actual paper invoices;
compare the report details to the actual paper invoices;;VO;compare;the report details;to the actual paper invoices;
compare with database;;VO;compare;with database;;
compares the details in report with the actual paper invoice;;DES / EVENT;compares;the details in report;;
competition;;AN;competition;;;
compile inventory purchase requisition form;;VO;compile;inventory purchase requisition form;;
compile purchase order;;VO;compile;purchase order;;
compile requisition forms from all departments;;VO;compile;requisition forms;from all departments;
compile study plan;;VO;compile;study plan;;
compleation application;;AN;application;compleation;;
complete a vendor data master record request;;VO;complete;a vendor data master record request;;
complete and attach invoice entry form;;VO;complete attach;invoice entry form;;
complete and submit the position form;;VO;complete submit;the position form;;
complete appointment approval;;VO;complete;appointment approval;;
complete appointment approval form;;VO;complete;appointment approval form;;
complete by experienced ssp member;;VO;complete;;by experienced ssp member;
complete checkout;;VO;complete;checkout;;
complete flight selection;;VO;complete;flight selection;;
complete order;;VO;complete;order;;
complete position documentation;;VO;complete;position documentation;;
complete program;;VO;complete;program;;
complete questionnaire for medical conditions(t4);;VO;complete;questionnaire for medical conditions(t4);;
complete repair task;;VO;complete;repair task;;
complete repair tasks;;VO;complete;repair tasks;;
complete repairing;;VO;complete;repairing;;
complete sap vendor master record request form;;VO;complete;sap vendor master record request form;;
complete setup;;VO;complete;setup;;
complete the required information;;VO;complete;the required information;;
complete vendor master record request form;;VO;complete;vendor master record request form;;
complete vendor master request form;;VO;complete;vendor master request form;;
complete within 1-5 business days;;VO;complete;within 1-5 business days;;
complete within 24 hours;;VO;complete;within 24 hours;;
completed documents;;NA;documents;completed;;
completes invoice;;DES / EVENT;completes;invoice;;
completing case;;AN;completing;case;;
compliance decision;;AN;decision;compliance;;
conduct advanced risk assessment;;VO;conduct;advanced risk assessment;;
conduct directions hearings;;VO;conduct;directions hearings;;
conduct information search;;VO;conduct;information search;;
conduct interviews;;VO;conduct;interviews;;
conduct market research;;VO;conduct;market research;;
conduct property survey;;VO;conduct;property survey;;
conduct reference / s check;;VO;conduct;reference / s check;;
conduct simple risk assessment;;VO;conduct;simple risk assessment;;
conduct two reference check;;VO;conduct;two reference check;;
conduct two reference check;;VO;conduct;two reference check;;
confirm;;VO;confirm;;;
confirm account;;VO;confirm;account;;
confirm activation by pressing link;;VO;confirm;activation;by pressing link;
confirm address & contact number;;VO;confirm;address & contact number;;
confirm and book appointment;;VO;confirm book;appointment;;
confirm bid;;VO;confirm;bid;;
confirm booking with tutor;;VO;confirm;booking;with tutor;
confirm cancellation;;VO;confirm;cancellation;;
confirm customer;;VO;confirm;customer;;
confirm delivery;;VO;confirm;delivery;;
confirm details and continue;;VO;confirm;details and continue;;
confirm email address;;VO;confirm;email address;;
confirm good issue;;VO;confirm;good issue;;
confirm if invoice can be paid;;VO;confirm;if invoice can be paid;;
confirm invitation;;VO;confirm;invitation;;
confirm invitation list creation;;VO;confirm;invitation list creation;;
confirm job vacancy;;VO;confirm;job vacancy;;
confirm key acceptance;;VO;confirm;key acceptance;;
confirm location (t2);;VO;confirm;location (t2);;
confirm login;;VO;confirm;login;;
confirm new or existing vacancy;;VO;confirm;new or existing vacancy;;
confirm offer date with manager;;VO;confirm;offer date with manager;;
confirm order;;VO;confirm;order;;
confirm order details;;VO;confirm;order details;;
confirm order for fulfillment;;VO;confirm;order;for fulfillment;
confirm payee information;;VO;confirm;payee information;;
confirm payment;;VO;confirm;payment;;
confirm payment details;;VO;confirm;payment details;;
confirm payment successful;;VO;confirm;payment successful;;
confirm po;;VO;confirm;po;;
confirm position and profile with client;;VO;confirm;position and profile;with client;
confirm position profile;;VO;confirm;position profile;;
confirm pregnancy(t1);;VO;confirm;pregnancy(t1);;
confirm process order;;VO;confirm;process order;;
confirm product availabilty;;VO;confirm;product availabilty;;
confirm purchase;;VO;confirm;purchase;;
confirm receipts;;VO;confirm;receipts;;
confirm release date;;VO;confirm;release date;;
confirm safety question;;VO;confirm;safety question;;
confirm sales order;;VO;confirm;sales order;;
confirm shipping address;;VO;confirm;shipping address;;
confirm student in the system;;VO;confirm;student;in the system;
confirm student request;;VO;confirm;student request;;
confirm that labelling luggage is finish;;VO;confirm;that labelling luggage is finish;;
confirm the offering;;VO;confirm;the offering;;
confirm to customer that paperwork is okay;;VO;confirm;to customer that paperwork is okay;;
confirm transport resevation;;VO;confirm;transport resevation;;
confirm utalisation;;VO;confirm;utalisation;;
confirm vacancystatus;;VO;confirm;vacancystatus;;
confirm with client management if vacant or soon to be;;VO;confirm;with client management if vacant or soon to be;;
confirmation;;AN;confirmation;;;
confirmation mail;;NA;mail;confirmation;;
confirmation notification is sent via post email;;DES / EVENT;sent;confirmation notification;;
confirmation of an appointment;;AN;confirmation;of an appointment;;
confirmation of the order;;AN;confirmation;of the order;;
confirmed;;DES / EVENT;confirmed;;;
connect directly with lecturer;;VO;connect;directly with lecturer;;
connect with lecturer via proponent;;VO;connect;with lecturer;via proponent;
consider / remove items from hold / hand luggage;;VO;consider remove;items;from hold / hand luggage;
consider / remove items from hold / hand luggage;;VO;consider remove;items;;
consider alternative opioid;;VO;consider;alternative opioid;;
consider candidates at cross-site resource meeting;;VO;consider;candidates;at cross-site resource meeting;
consider consulting palliative care team for advice;;VO;consider;consulting palliative care team;for advice;
consider immediate drug treatment;;VO;consider;immediate drug treatment;;
consider non pharmacological ways to settle patient;;VO;consider;non pharmacological ways;to settle patient;
consider other causes of distress and pain;;VO;consider;other causes;of distress and pain;
consider product;;VO;consider;product;;
consolidate load tenders;;VO;consolidate;load tenders;;
consolidate load terms;;VO;consolidate;load terms;;
consolidate pr's;;VO;consolidate;pr's;;
consolidate prs;;VO;consolidate;prs;;
constipation;;AN;constipation;;;
construct approve response;;VO;construct;approve response;;
construct error response;;VO;construct;error response;;
construct reject response;;VO;construct;reject response;;
consult;;VO;consult;;;
consult between hr and recruitment;;VO;consult;between hr and recruitment;;
consult error with analyst;;VO;consult;error;with analyst;
consult project;;VO;consult;project;;
consult project check progress;;VO;consult;project check progress;;
consult requirement;;VO;consult;requirement;;
consult the project check progress;;VO;consult check;the project / progress;;
consult with the next level manager;;VO;consult;with the next level manager;;
consult with the online nurse;;VO;consult;with the online nurse;;
contact beneficiary for the missing information;;VO;contact;beneficiary;for the missing information;
contact beneficiary for the missing information;;VO;contact;beneficiary;for the missing information;
contact bpr and dca;;VO;contact;bpr and dca;;
contact bpr to register customer;;VO;contact;bpr;to register customer;
contact customer;;VO;contact;customer;;
contact customer for negotiations;;VO;contact;customer;for negotiations;
contact disuki;;VO;contact;disuki;;
contact dms with part request;;VO;contact;dms;with part request;
contact engineer;;VO;contact;engineer;;
contact enginnering;;VO;contact;enginnering;;
contact expert;;VO;contact;expert;;
contact insurer and consult the case;;VO;contact;insurer and consult the case;;
contact outside vendor (central procurement department);;VO;contact;outside vendor (central procurement department);;
contact palliative care team to consider other treatments such as cyclizine;;VO;contact;palliative care team;to consider other treatments such as cyclizine;
contact prof. for course info / schedule;;VO;contact;prof.;for course info / schedule;
contact professor for possible changes of the course given date;;VO;contact;professor;for possible changes of the course given date;
contact proponent;;VO;contact;proponent;;
contact r&d to communicate the project;;VO;contact;r&d;to communicate the project;
contact sale team;;VO;contact;sale team;;
contact service to check capabilities in relation to the requirements;;VO;contact;service;to check capabilities in relation to the requirements;
contact the lecturers;;VO;contact;the lecturers;;
contact the professor and get timetable;;VO;contact;the professor and get timetable;;
contact us;;VO;contact;us;;
contact vendor;;VO;contact;vendor;;
contact vendor and request purchase;;VO;contact request;vendor / purchase;;
contacts expert for review of doctor;;DES / EVENT;contacts;expert;;
contacts vendor;;DES / EVENT;contacts;vendor;;
container lids;;NA;lids;container;;
container released;;DES / EVENT;released;container;;
container x-ray inspection;;AN;inspection;container x-ray;;
content;;VO;content;;;
content check;;AN;check;content;;
content checking decision;;NA;;content checking decision;;
content is sent to web server;;DES / EVENT;is sent;content;;
content preperation(5 days);;AN;preparation;content;;
content server retrieves item from data storage;;DES / EVENT;retrieves;item;;
continue oral opioid;;VO;continue;oral opioid;;
continue processing;;VO;continue;processing;;
continue shopping;;VO;continue;shopping;;
continue to the next page;;VO;continue;to the next page;;
continue with permitted goods;;VO;continue;with permitted goods;;
continue without eligibility stamp;;VO;continue;without eligibility stamp;;
continue without renewing policy;;VO;continue;without renewing policy;;
contract customer;;VO;contract;customer;;
contract sold;;VO;contract;sold;;
convert case;;VO;convert;case;;
cook;;VO;cook;;;
cookie has been found and corresponds to an open session;;DES / EVENT;session;cookie has been found and corresponds to an open;;
cooperation established;;DES / EVENT;established;cooperation;;
cooperation not established;;DES / EVENT;established;cooperation not;;
coordinate program;;VO;coordinate;program;;
coordinator examination request;;AN;request;coordinator examination;;
correct based on error list;;VO;correct;based on error list;;
correct compliance issue;;VO;correct;compliance issue;;
correct highlighted mistakes;;VO;correct;highlighted mistakes;;
correct utalisation;;VO;correct;utalisation;;
corrected profile received;;DES / EVENT;;corrected profile received;;
corridor phase;;NA;phase;corridor;;
cost estimate;;NA;estimate;cost;;
count;;VO;count;;;
"create ""work order""";;VO;create;"""work order""";;
create / change customer profile;;VO;create change;customer profile;;
create / revise advertising plan;;VO;create revise;advertising plan;;
create a business case;;VO;create;a business case;;
create a healthy lifestyle based on patient preference (sp6);;VO;create;a healthy lifestyle based on patient preference (sp6);;
create a new account;;VO;create;a new account;;
create a new account (email address name pet type);;VO;create;a new account (email address name pet type);;
create a new customer;;VO;create;a new customer;;
create a quote;;VO;create;a quote;;
create a quote;;VO;create;a quote;;
create a report;;VO;create;a report;;
create a vendor master record request form;;VO;create;a vendor master record request form;;
create account;;VO;create;account;;
create account;;VO;create;account;;
create advertisment;;VO;create;advertisment;;
create an offert for a lesson(time and content);;VO;create;an offert for a lesson(time and content);;
create and send advertisement;;VO;create send;send advertisement;;
create and send billing document;;VO;create send;send billing document;;
create and send corespondence(sys);;VO;create send;send corespondence(sys);;
create and send e-mail;;VO;create send;send e-mail;;
create and send receipt;;VO;create send;send receipt;;
create and update basket;;VO;create update;basket;;
create apple id;;VO;create;apple id;;
create application;;VO;create;application;;
create auction request;;VO;create;auction request;;
create billing document;;VO;create;billing document;;
create case;;VO;create;case;;
create case / edit case;;VO;create;case / edit case;;
create case about a doctor;;VO;create;case about a doctor;;
create change document;;VO;create;change document;;
create change request;;VO;create;change request;;
create change request tracking no;;VO;create;change request tracking no;;
create commercials / advertisments;;VO;create;commercials / advertisments;;
create contract;;VO;create;contract;;
create credit card rejection;;VO;create;credit card rejection;;
create credit order;;VO;create;credit order;;
create customer;;VO;create;customer;;
create customer profile;;VO;create;customer profile;;
create customer's record and conditon;;VO;create;customer's record and conditon;;
create cv;;VO;create;cv;;
create dd;;VO;create;dd;;
create defaulting account table;;VO;create;defaulting account table;;
create delivery for sales order;;VO;create;delivery for sales order;;
create development plan;;VO;create;development plan;;
create endorsement;;VO;create;endorsement;;
create event;;VO;create;event;;
create expense report in sap;;VO;create;expense report in sap;;
create final schedule;;VO;create;final schedule;;
create functional design document;;VO;create;functional design document;;
create goods receipt document;;VO;create;goods receipt document;;
create invoice;;VO;create;invoice;;
create itunes account;;VO;create;itunes account;;
create journal entries from job activity;;VO;create;journal entries from job activity;;
create log message;;VO;create;log message;;
create master data;;VO;create;master data;;
create master vendor record;;VO;create;master vendor record;;
create materiel master data;;VO;create;materiel master data;;
create meeting folders;;VO;create;meeting folders;;
create mrp run;;VO;create;mrp run;;
create new account;;VO;create;new account;;
create new car by adding extras;;VO;create;new car by adding extras;;
create new case;;VO;create;new case;;
create new competing offer;;VO;create;new competing offer;;
create new customer;;VO;create;new customer;;
create new customer record;;VO;create;new customer record;;
create new entry in database;;VO;create;new entry in database;;
create new group conversation;;VO;create;new group conversation;;
create new position & develop business case;;VO;create;new position & develop business case;;
create new process instance;;VO;create;new process instance;;
create new vendor;;VO;create;new vendor;;
create new vendor master record;;VO;create;new vendor master record;;
create new vendor record;;VO;create;new vendor record;;
create offers;;VO;create;offers;;
create one process model;;VO;create;one process model;;
create order from purchase requisition;;VO;create;order from purchase requisition;;
create order template from purchase requisition;;VO;create;order template from purchase requisition;;
create personalised offers;;VO;create;personalised offers;;
create pilot licence;;VO;create;pilot licence;;
create pricing options;;VO;create;pricing options;;
create process model;;VO;create;process model;;
create product;;VO;create;product;;
create production order;;VO;create;production order;;
create production order2x;;VO;create;production order2x;;
create production plan and process order;;VO;create;production plan and process order;;
create profile;;VO;create;profile;;
create protocols for uat test;;VO;create;protocols for uat test;;
create purchase order;;VO;create;purchase order;;
create purchase order;;VO;create;purchase order;;
create purchase order2x;;VO;create;purchase order2x;;
create purchase requisition;;VO;create;purchase requisition;;
create purchase requisition;;VO;create;purchase requisition;;
create purchase requisition;;VO;create;purchase requisition;;
create purchase requisition and assign requisition to source;;VO;create;purchase requisition and assign requisition to source;;
create purchaserequisition;;VO;create;purchaserequisition;;
create quotation;;VO;create;quotation;;
create quote;;VO;create;quote;;
create record;;VO;create;record;;
create recruitment vacancy in nga.net;;VO;create;recruitment vacancy in nga.net;;
create reference object;;VO;create;reference object;;
create release;;VO;create;release;;
create report;;VO;create;report;;
create report problems and solutions;;VO;create;report problems and solutions;;
create request for quotation;;VO;create;request for quotation;;
create request for quote (rfq);;VO;create;request for quote (rfq);;
create requisition;;VO;create;requisition;;
create review;;VO;create;review;;
create rfq;;VO;create;rfq;;
create roster;;VO;create;roster;;
create sales order;;VO;create;sales order;;
create sales order entry;;VO;create;sales order entry;;
create sales quote;;VO;create;sales quote;;
create salesquote;;VO;create;salesquote;;
create salesquotes;;VO;create;salesquotes;;
create service center incident no;;VO;create;service center incident no;;
create short list;;VO;create;short list;;
create staff requisition;;VO;create;staff requisition;;
create state specific business scenarios;;VO;create;state specific business scenarios;;
create the advertisment;;VO;create;the advertisment;;
create the advertisment;;VO;create;the advertisment;;
create transfer order for delivery note;;VO;create;transfer order for delivery note;;
create transfer order or good issue;;VO;create;transfer order or good issue;;
create user mail account;;VO;create;user mail account;;
create vendor masta data;;VO;create;vendor masta data;;
create vendor master record;;VO;create;vendor master record;;
create vendor master record (1-5 days turnaround);;VO;create;vendor master record (1-5 days turnaround);;
create vendor master record (24 hours turnaround);;VO;create;vendor master record (24 hours turnaround);;
create vendor record;;VO;create;vendor record;;
create vendor record;;VO;create;vendor record;;
create work order;;VO;create;work order;;
created order;;NA;order;created;;
creates the report;;DES / EVENT;creates;report;;
creating internal reports (dun and bradstreet);;AN;creating;internal reports;(dun and bradstreet);
creation of marketing plan including budget;;AN;creation;of marketing plan including budget;;
creation of vendor master data;;AN;creation;of vendor master data;;
credit accounts receivable;;NA;;credit accounts receivable;;
credit card;;NA;;credit card;;
credit check;;AN;check;credit;;
credit check;;AN;check;credit;;
credit memo;;NA;;credit memo;;
critical incident resolution;;AN;resolution;critical incident;;
csc assists citizen with potential problems;;DES / EVENT;problems;csc assists citizen with potential;;
current medication;;NA;medication;current;;
current medication;;NA;medication;current;;
current stock levels update;;AN;update;current stock levels;;
curse;;VO;curse;;;
customer;;NA;;;;
customer billing;;AN;billing;customer;;
customer call or visit dms;;NA;dms;customer call or visit;;
customer callls / visits dms;;DES / EVENT;callls, visits;dms;;
customer checks email;;DES / EVENT;checks;email;;
customer collects parts;;DES / EVENT;collects;parts;;
customer contacted for collection;;DES / EVENT;contacted;customer;;
customer details;;NA;details;customer;;
customer enters username and password;;DES / EVENT;enters;customer;;
customer fills in the registration form;;DES / EVENT;fills;the registration form;;
customer pays;;DES / EVENT;pays;customer;;
customer pays the bills;;DES / EVENT;pays;customer, the bills;;
customer profile;;NA;profile;customer;;
customer receives quote;;DES / EVENT;receives;customer, quote;;
customer receives the quote and starts thinking;;DES / EVENT;receives, starts thinking;customer, quote;;
customer thinks;;DES / EVENT;thinks;customer;;
customer visits dms;;DES / EVENT;visits;dms, customer;;
customers details are recorded;;DES / EVENT;recorded;customers details;;
da: accept date;;VO;accept;date;;
da: propose date;;VO;propose;date;;
daily scrum;;NA;scrum;daily;;
dairy;;NA;;;;
dance;;VO;dance;;;
data and inspection details are directly entered into tablet;;DES / EVENT;entered;data and inspection details;;
data are being put into alcs meanwhile paper file is created;;DES / EVENT;created, put;data, paper file;;
data comparison;;AN;comparison;data;;
data conversion design & test;;AN;design test;data conversion;;
data correct;;DES / EVENT;correct;data;;
data entered into alcs & creating paper file;;DES / EVENT;entered;data;;
data entry and process order;;AN;entry process;data / order;;
data incorrect;;DES / EVENT;incorrect;data;;
data invalid;;DES / EVENT;invalid;data;;
data is entered into alcs and a paper file is created;;DES / EVENT;entered, created;data, paper file;;
data processed / email sent to client;;DES / EVENT;processed, sent;data, email;;
data valid;;DES / EVENT;valid;data;;
data validation: check with preset codnitions;;AN;validation;data;check with preset codnitions;
database;;NA;;;;
date of arrival entered;;DES / EVENT;entered;date of arrival;;
dates available;;DES / EVENT;available;dates;;
dean approval;;AN;approval;dean;;
debit cash account;;VO;debit;cash account;;
debit customer;;VO;debit;customer;;
debit customer's account;;VO;debit;customer's account;;
debit guest's account;;VO;debit;guest's account;;
debt recovery process;;NA;process;debt recovery;;
deceide if normal post or special shipment;;VO;deceide;if normal post or special shipment;;
decide;;VO;decide;;;
decide for eating salad;;VO;decide;for eating salad;;
decide for menu;;VO;decide;for menu;;
decide if normal post or special shipment;;VO;decide;if normal post or special shipment;;
decide if person can become member;;VO;decide;if person can become member;;
decide ifnormal post orspecialshipment;;VO;decide;ifnormal post orspecialshipment;;
decide on grouping;;VO;decide;on grouping;;
decide on manufacturer;;VO;decide;on manufacturer;;
decide on order date;;VO;decide;on order date;;
decide on winning supplier;;VO;decide;on winning supplier;;
decide the shortest and the fastest way for all packages;;VO;decide;the shortest and the fastest way for all packages;;
decide to accept or reject claim;;VO;decide;to accept or reject claim;;
decide to create a new position and business case;;VO;decide;to create a new position and business case;;
decide to deliver goods to market;;VO;decide;to deliver goods to market;;
decide to offer or not;;VO;decide;to offer or not;;
decide what i will make (exam another year);;VO;decide;what i will make (exam another year);;
decide whether is need to pack lags;;VO;decide;whether is need to pack lags;;
deciding if physical inspection is required;;AN;deciding;if physical inspection is required;;
decision;;AN;decision;;;
decision accepted;;DES / EVENT;accepted;decision;;
decision of acad. commitee (2 weeks / 1 hour);;DES / EVENT;decision;acad. committee;;
decission;;AN;decission;;;
declaration validation and release of goods;;AN;validation release;declarataion / goods;;
decline loan;;VO;decline;loan;;
decline problem;;VO;decline;problem;;
decrease internal credit;;VO;decrease;internal credit;;
deduct amount from personal fund budget;;VO;deduct;amount from personal fund budget;;
deduct amount from personal funds budget;;VO;deduct;amount from personal funds budget;;
defense project;;NA;project;defense;;
define basic scope;;VO;define;basic scope;;
define business requirement;;VO;define;business requirement;;
define credit requirements;;VO;define;credit requirements;;
define depreciation rule;;VO;define;depreciation rule;;
define initial as-is process models;;VO;define;initial as-is process models;;
define possibility of alternative solution;;VO;define;possibility of alternative solution;;
define subscriber;;VO;define;subscriber;;
delete monster from waiting bag;;VO;delete;monster from waiting bag;;
delete request;;VO;delete;request;;
deliver car to the sales dept.;;VO;deliver;car to the sales dept.;;
deliver coffee;;VO;deliver;coffee;;
deliver cr to requester;;VO;deliver;cr to requester;;
deliver freight;;VO;deliver;freight;;
deliver goods;;VO;deliver;goods;;
deliver mail to relevant employee;;VO;deliver;mail to relevant employee;;
